Benchmark,Dataset,Dimension,TimeLimit_s,TargetMakespan,Algorithm,Distance,Makespan,Fitness,Time_ms,Iterations,BeamExec,BeamImprove,Gap_percent,Feasible,Time_s_paper,Time_s_paper_ms,Time_diff_percent
AFG,rbg086a.tw,87,1200.0,16899.0,SMA-Beam,8744.0,16899.0,16899.0,1909.0,399,0,0,0.0,1,23.52,23520.0,-91.88350340136054
AFG,rbg092a.tw,93,1200.0,12501.0,SMA-Beam,7575.0,12501.0,12501.0,5136.0,999,1,0,0.0,1,57.06,57060.0,-90.99894847528917
AFG,rbg125a.tw,126,1200.0,14214.0,SMA-Beam,8522.0,14214.0,14214.0,64.0,0,0,0,0.0,1,159.05,159050.0,-99.95976108142094
AFG,rbg132.2.tw,131,1200.0,18524.0,SMA-Beam,9253.0,18524.0,18524.0,88.0,0,0,0,0.0,1,256.79,256790.00000000003,-99.96573075275516
AFG,rbg132.tw,131,1200.0,18524.0,SMA-Beam,9151.0,18524.0,18524.0,7539.0,799,0,0,0.0,1,109.79,109790.0,-93.13325439475362
AFG,rbg152.3.tw,151,1200.0,17455.0,SMA-Beam,10511.0,17455.0,17455.0,88.0,0,0,0,0.0,1,449.59,449590.0,-99.98042661091216
AFG,rbg152.tw,151,1200.0,17455.0,SMA-Beam,10617.0,17455.0,17455.0,4576.0,399,0,0,0.0,1,214.97,214970.0,-97.87133088337907
AFG,rbg172a.tw,173,1200.0,17783.0,SMA-Beam,11853.0,17784.0,17784.0,1200010.0,91239,91,0,0.01,1,,,
AFG,rbg193.2.tw,192,1200.0,21401.0,SMA-Beam,13225.0,21401.0,21401.0,140.0,0,0,0,0.0,1,890.64,890640.0,-99.984280966496
AFG,rbg193.tw,192,1200.0,21401.0,SMA-Beam,13339.0,21401.0,21401.0,99404.0,4599,4,0,0.0,1,397.71,397710.0,-75.00590882804053
AFG,rbg201a.tw,202,1200.0,21380.0,SMA-Beam,13981.0,21380.0,21380.0,114584.0,4399,4,0,0.0,1,516.17,516169.99999999994,-77.80111203673208
AFG,rbg233.2.tw,232,1200.0,26143.0,SMA-Beam,15834.0,26143.0,26143.0,6597.0,199,0,0,0.0,1,880.14,880140.0,-99.2504601540664
AFG,rbg233.tw,232,1200.0,26143.0,SMA-Beam,16334.0,26143.0,26143.0,174376.0,5599,5,0,0.0,1,543.33,543330.0,-67.90606077337897
GendreauDumasExtended,n100w100.001.txt,101,1200.0,787.0,SMA-Beam,753.0,787.0,787.0,5940.0,1999,2,0,0.0,1,211.74,211740.0,-97.19467271181638
GendreauDumasExtended,n100w100.002.txt,101,1200.0,780.0,SMA-Beam,740.0,780.0,780.0,6519.0,1999,2,0,0.0,1,80.68,80680.0,-91.91993058998513
GendreauDumasExtended,n100w100.003.txt,101,1200.0,819.0,SMA-Beam,807.0,842.0,842.0,1200005.0,441541,441,0,2.81,1,,,
GendreauDumasExtended,n100w100.004.txt,101,1200.0,844.0,SMA-Beam,812.0,844.0,844.0,10502.0,2999,3,0,0.0,1,138.09,138090.0,-92.39481497574046
GendreauDumasExtended,n100w100.005.txt,101,1200.0,749.0,SMA-Beam,710.0,756.0,756.0,1200003.0,448408,448,0,0.93,1,235.8,235800.0,408.9071246819338
GendreauDumasExtended,n100w120.001.txt,101,1200.0,882.0,SMA-Beam,872.0,882.0,882.0,33.0,0,0,0,0.0,1,251.81,251810.0,-99.98689488106112
GendreauDumasExtended,n100w120.002.txt,101,1200.0,893.0,SMA-Beam,733.0,893.0,893.0,30.0,0,0,0,0.0,1,133.62,133620.0,-99.97754827121689
GendreauDumasExtended,n100w120.003.txt,101,1200.0,909.0,SMA-Beam,817.0,909.0,909.0,34.0,0,0,0,0.0,1,115.35,115350.0,-99.97052449068053
GendreauDumasExtended,n100w120.004.txt,101,1200.0,923.0,SMA-Beam,899.0,923.0,923.0,31.0,0,0,0,0.0,1,189.78,189780.0,-99.98366529665928
